,topic,sentiment,tweet_id,tweet_text
0,apple,positive,126415614616154112,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
1,apple,positive,126404574230740992,
2,apple,positive,126402758403305474,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
3,apple,positive,126397179614068736,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
4,apple,positive,126395626979196928,
5,apple,positive,126394830791254016,
6,apple,positive,126379685453119488,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
7,apple,positive,126377656416612353,Great up close & personal event @Apple tonight in Regent St store!
8,apple,positive,126373779483004928,From which companies do you experience the best customer service aside from @zappos and @apple?
9,apple,positive,126366353757179904,
10,apple,positive,126366123368267776,
11,apple,positive,126365858481188864,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
12,apple,positive,126360935509135362,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
13,apple,positive,126360398885687296,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
14,apple,positive,126358340220616704,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
15,apple,positive,126357982685569024,?? ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  ??
16,apple,positive,126354605130002432,
17,apple,positive,126352268705538048,"Come to the dark side ?“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”"
18,apple,positive,126350948548354048,
19,apple,positive,126350302113824769,
20,apple,positive,126349695676203009,
21,apple,positive,126344048637259776,
22,apple,positive,126342268603998208,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty."
23,apple,positive,126325800080392193,@DailyDealChat @apple Thanks!!
24,apple,positive,126324177501302784,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
25,apple,positive,126323785145126912,
26,apple,positive,126322063332999169,@apple @siri is efffing amazing!!
27,apple,positive,126319186141130752,
28,apple,positive,126318009647235072,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
29,apple,positive,126315223060709376,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
30,apple,positive,126315011600678913,
31,apple,positive,126314687116750849,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
32,apple,positive,126312877916307458,
33,apple,positive,126311981564178432,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
34,apple,positive,126307801046847488,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...
35,apple,positive,126302673820594176,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!
36,apple,positive,126301956951117826,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
37,apple,positive,126287654093471745,At the bus with my iPhone ;) thxx @apple
38,apple,positive,126284506360578049,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app."
39,apple,positive,126267185025916928,
40,apple,positive,126263834968211456,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
41,apple,positive,126256230397259776,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
42,apple,positive,126213333123743744,
43,apple,positive,126195522691280896,@bkad5161 than apologize to @apple ;)
44,apple,positive,126183339945234432,@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX
45,apple,positive,126180209501286400,"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI"
46,apple,positive,126164430546403328,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s
47,apple,positive,126148685737361408,
48,apple,positive,126140794078892033,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
49,apple,positive,126134400466419712,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
50,apple,positive,126130991365500928,
51,apple,positive,126116898051076096,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple"
52,apple,positive,126116614495154176,Well at least the @apple store has amazing call waiting music! #need4s
53,apple,positive,126112836219973632,#sweet... #apple replaced my glass #probono. thank you @apple
54,apple,positive,126107965991297024,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
55,apple,positive,126104732426186752,"loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology"
56,apple,positive,126097426493878272,I'm loving this new IOS5 update :) @apple
57,apple,positive,126095744531832832,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
58,apple,positive,126093298619252737,
59,apple,positive,126084907343691776,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
60,apple,positive,126079414986485761,
61,apple,positive,126076743613284354,Thank you @apple. My new gf(iphone4s) is great!  She does everything!
62,apple,positive,126076238375817216,#iCloud set up was flawless and works like a champ! To the Cloud @Apple
63,apple,positive,126075534894571520,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!
64,apple,positive,126064519943426048,@apple loving the new IOS5 upgrade for the iPhone!
65,apple,positive,126063569660936193,
66,apple,positive,126063358037340161,Once again getting great customer service from the @apple store at millenia mall.
67,apple,positive,126059405941809152,Is it just me or is #iOS5 faster for the iPad? @apple
68,apple,positive,126059399319003136,
69,apple,positive,126057030996852737,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH
70,apple,positive,126049183865114624,So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!
71,apple,positive,126040352237961217,
72,apple,positive,126040074595999746,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1
73,apple,positive,126039929523404801,
74,apple,positive,126034495991328768,So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.
